handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_ef6506c7-0f50-45ae-87ed-4f9429bb75db,Variant,,,,,milf-candle-paint-can-hand-pou725592596,,,151.0,true,,,999,,,,,Saffron + Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ef6506c7-0f50-45ae-87ed-4f9429bb75db,Variant,,,,,milf-candle-paint-can-hand-pou725592596,,,151.0,true,,,999,,,,,Mint Mojito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ef6506c7-0f50-45ae-87ed-4f9429bb75db,Variant,,,,,milf-candle-paint-can-hand-pou725592596,,,151.0,true,,,999,,,,,Dark Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ef6506c7-0f50-45ae-87ed-4f9429bb75db,Variant,,,,,milf-candle-paint-can-hand-pou725592596,,,151.0,true,,,999,,,,,Marine Salt Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ef6506c7-0f50-45ae-87ed-4f9429bb75db,Variant,,,,,milf-candle-paint-can-hand-pou725592596,,,151.0,true,,,999,,,,,Hashish Bud + Black Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ef6506c7-0f50-45ae-87ed-4f9429bb75db,Variant,,,,,milf-candle-paint-can-hand-pou725592596,,,151.0,true,,,999,,,,,Espresso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ef6506c7-0f50-45ae-87ed-4f9429bb75db,Variant,,,,,milf-candle-paint-can-hand-pou725592596,,,151.0,true,,,999,,,,,Prosecco + Pink Raspberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ef6506c7-0f50-45ae-87ed-4f9429bb75db,Variant,,,,,milf-candle-paint-can-hand-pou725592596,,,151.0,true,,,999,,,,,Campfire Marshmallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ef6506c7-0f50-45ae-87ed-4f9429bb75db,Variant,,,,,milf-candle-paint-can-hand-pou725592596,,,151.0,true,,,999,,,,,Wildflowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fb761070-e4b2-4f35-ab5e-2e3f3a044bdd,Product,Titan Kegel Balls,"<p>Spice up your sexual workouts with these ""Titan Kegel Balls!""</p><p>These luxurious kegel balls are 1.5"" round and weigh 3.5 oz. Made of silky soft pink silicone that helps tone up your pelvic muscles while providing sensation at the same time – perfect for a night of kinky S&amp;M play. The ""Titan Kegal Balls"" are a breeze to clean with warm water and antibacterial soap. Only use with water based lube.<strong></strong></p><div><div><div><div><div><ul><li><span style=""font-weight: 400;""><strong>Material:</strong> Silicone </span></li><li><span style=""font-weight: 400;""><strong>Size:</strong> <span>7.87 x 1.50""</span></span></li></ul></div></div></div></div></div><ol></ol>",ea4911_e223fd7d809c422dbe553abb4de10c13~mv2.jpg;ea4911_f1c87cd8c0ed4f9d9b09281617d5a296~mv2.jpg;ea4911_6fbffc8119584dbb8b356041cd97d634~mv2.jpg;ea4911_cedfb628ee6e44219b197a8b6df9e6a9~mv2.jpg,,titan-kegel-balls563667864,,429.0,,true,PERCENT,0.0,599,,337.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a9af176e-316e-43d3-9301-701f109e0ca9,Product,My Secret Erotica-Red,"<p>0Este producto es un vibrador doble ergonómico diseñado para la estimulación simultánea del punto G y el clítoris, ofreciendo una experiencia intensa y personalizada</p>",ea4911_eacb4d0938a7453a8b1eb668f01c996a~mv2.jpg,,my-secret-erotica-red1040808977,,1129.8,,true,PERCENT,0.0,1,,917.8,,,,,,,,,,,,,,,,,,,caracteristicas,"<ul>
	<li>
	<p>Forma anatómica para fácil inserción y máximo placer.ea4911_eacb4d0938a7453a8b1eb668f01c996a-mv2.jpg</p>
	</li>
	<li>
	<p>10 funciones de vibración potentes para variedad de sensaciones.ea4911_eacb4d0938a7453a8b1eb668f01c996a-mv2.jpg</p>
	</li>
	<li>
	<p>Fabricado en silicona suave y segura para el cuerpo.ea4911_eacb4d0938a7453a8b1eb668f01c996a-mv2.jpg</p>
	</li>
	<li>
	<p>Recargable y resistente al agua, perfecto para usar en la&nbsp; ducha</p>
	</li>
</ul>
",,,,,,,,,,,,,,,,,
product_8b29e126-5c37-4c2a-aa19-ffbd78f7d752,Product,Anal Tease Silicone Cock Ring & Plug,"<p><strong>Anal Tease Silicone Cock Ring &amp; Plug</strong></p><p>Explore the world of anal stimulation with the&nbsp;<strong>Anal Tease</strong> Silicone cock ring. This unique cock ring is designed to strengthen and prolong your erection while teasing your backdoor for double the pleasure.</p><p>Designed with an ergonomic shape that makes insertion easy and pleasurable, the&nbsp;<strong>Anal Tease</strong> is <strong>waterproof</strong> and made of <strong>medical-grade silicone</strong>. Simply add on your favorite water-based lube and enjoy a safe, worry-free, super intense climax with your partner.</p><p>It's a breeze to clean with warm water and antibacterial soap.<br></p><ul><li><strong>Material</strong>: Medical-Grade Silicone</li><li><strong>Size:</strong> 4.7""x1.97""</li></ul>",ea4911_25308cbee6e5413e8e49e50b3b6d7901~mv2.jpg;ea4911_ba99a24c59624f74bae412062bf35c2a~mv2.jpg;ea4911_f89ba52956ab4e43b76c6a54f625f0cb~mv2.jpg;ea4911_d37425824f1544cbbfbf461c54558ae0~mv2.jpg;ea4911_477a47d4b38d4384b06a9a3c192cc20c~mv2.jpg;ea4911_fd9445d3033a4be0a17415f10a72f297~mv2.jpg;ea4911_f54a0c25adf84cbda5ca5eac06d9bfff~mv2.jpg;ea4911_d0b7772029654e62a5a76fcece01a80e~mv2.jpg,,anal-tease-silicone-cock-ring-729689998,,457.2,,true,PERCENT,0.0,100,,337.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2b843c7c-f96d-46b4-99c7-edc1d0dd13b0,Product,Bondage Massage Bed [Contact Us to Order],"<p>Take erotic restraint to the next level with this Extreme Bondage Table! With a comfortable face hole and fully exposed crotch hole, this smooth and padded table is built to create opportunities for pleasure and play. The wrist and ankle cuffs that are included are perfect companion items to the table and attach easily to any of the 20 D-Rings so you can restrain your partner as you please them to the brink of ecstasy! Built durable and meant to last, feel free to play a little rougher on this table. The provocative design will excite your lover and give them wild ideas about what the night will bring. Fit the wrist and ankle cuffs on their legs and arms so they feel snug and comfortable, then attach them to the D-Rings to keep them in place. Enjoy them squirming and writhing in pleasure as you play with their fantasies and desires.</p>",ea4911_d394a4098c8c420ab1b87d222a4e883e~mv2.jpg,,bondage-massage-bed-drop-ship-1363889252,,11874.86,,true,PERCENT,0.0,100,,10147.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d08220b7-84c6-4d12-96ae-5d7743c9c41c,Product,Smells Like We're Going To Have Sex,"<p><span>Light this candle up and let it speak for itself</span></p><p><b><span></span></b><strong>Scent notes:</strong></p><p><span>Peach, Vanilla</span></p><p><span>9oz</span></p>",ea4911_03a1fa4dbca24a89afd1abd9734f34d0~mv2.png;ea4911_4601949b57ad4e6e975a08d7d563b354~mv2.png,,smells-like-were-going-to-have795686995,,489.0,,true,PERCENT,0.0,100,,370.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bf10ad55-453b-49bd-bcc1-58473e4f0957,Product,Sensual Edible Massage Oil - Mint Zip,"<p><strong>YOU HAVE</strong><br><span>Libido busting stress, tension and sore muscles that need to be soothed and released.</span><br><strong>STRESS | TENSE MUSCLES | LOW LIBIDO</strong><span></span><br><span>_____________________________________________________</span><br><strong>YOU WANT</strong><br><span>A natural, easy to use, moisturizing massage oil that tastes and smells as good as it feels, leaving you relaxed, sensual and satisfied.</span><br><strong>NON-TOXIC | DE-STRESSED &amp; LESS TENSION | EDIBLE &amp; FUN</strong><span></span><br><span>4 oz / 120 ml</span></p>",ea4911_e4e0c2bdc291475bb5300ce8f3fc9117~mv2.jpg;ea4911_2dc9060151024a2bb8958003673cf86f~mv2.jpg;ea4911_fe48e70eb0be4b57aa7393c3383baabd~mv2.jpg;ea4911_371c968cba914ed2b3f33e0c98d78c1e~mv2.jpg,,sensual-edible-massage-oil-min1400612317,,619.91,,true,PERCENT,0.0,0,,516.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1400290b-0f76-48a6-8133-d99e4a0f4f0d,Product,Level Up Anal Trainers 3 Piece Silicone Anchor Set,"<p><strong>Explore your wildest backdoor desires with our Level Up Anal Trainers.</strong><br></p><p>This set comes in <strong>3 graduated sizes</strong>, each made for different levels of orgasmic intensity. Start off small and indulge in light teasing and train your way up to open up endless sexual possibilities.&nbsp;<br></p><p>Made of firm yet <strong>flexible medical grade silicone</strong>, each plug comes with a gently tapered tip for seamless entry and <strong>anchored flared</strong> base for easy removal. They're easy to clean with warm water and antibacterial soap. Ideal for long interval usage.<br></p><div><div><div><div><div><ul><li><span style=""font-weight: 400;""><strong>Material: </strong>Medical Grade&nbsp;</span><span style=""font-weight: 400;"">Silicone&nbsp;</span></li><li><span style=""font-weight: 400;""><strong>Small:</strong>&nbsp;<span>3.3"" x 0.83"" Base: 1.97""</span></span></li><li><span style=""font-weight: 400;""><strong>Medium:</strong>&nbsp;<span>3.9"" x 0.98"" Base: 2.28""</span></span></li><li><span style=""font-weight: 400;""><strong>Large:</strong>&nbsp;<span>4.92"" x 1.26"" Base: 2.99""</span></span></li></ul></div></div></div></div></div>",ea4911_2e434258577b4047b3f15a07538e25c6~mv2.jpg;ea4911_ccc8c0a4968e429c8f0baa351dc49a99~mv2.jpg;ea4911_40d4f1f9b90546ca9cf52187c91f3974~mv2.jpg;ea4911_a11a5ebc897f4820b3a6f00fe1341efa~mv2.jpg,,level-up-anal-trainers-set1113128786,,599.0,,true,PERCENT,0.0,995,,505.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
